winddir,Wind,Weather_Dump,Weather_information_at_Cilia.,millwood,ny,sensor,weather,,,,
winddir_avg2m,Wind,Weather_Dump,Weather_information_at_Cilia.,millwood,ny,sensor,weather,,,,
windgustdir,Speed,Weather_Dump,Weather_information_at_Cilia.,millwood,ny,sensor,weather,,,,
windgustdir_10m,Speed,Weather_Dump,Weather_information_at_Cilia.,millwood,ny,sensor,weather,,,,
windgustmph,Speed,Weather_Dump,Weather_information_at_Cilia.,millwood,ny,sensor,weather,,,,
windgustmph_10m,Speed,Weather_Dump,Weather_information_at_Cilia.,millwood,ny,sensor,weather,,,,
windspdmph_avg2m,Speed,Weather_Dump,Weather_information_at_Cilia.,millwood,ny,sensor,weather,,,,
windspeedmph,Speed,Weather_Dump,Weather_information_at_Cilia.,millwood,ny,sensor,weather,,,,
baromin,Pressure,K&K_Weather_Station,WIMP_K&K_Weather_Station,weather,,,,,,,
batt_lvl,Battery_Level,K&K_Weather_Station,WIMP_K&K_Weather_Station,weather,,,,,,,
dailyrainin,Rain_Index,K&K_Weather_Station,WIMP_K&K_Weather_Station,weather,,,,,,,
dewptf,Temperature,K&K_Weather_Station,WIMP_K&K_Weather_Station,weather,,,,,,,
humidity,Humidity,K&K_Weather_Station,WIMP_K&K_Weather_Station,weather,,,,,,,
light_lvl,Brightness,K&K_Weather_Station,WIMP_K&K_Weather_Station,weather,,,,,,,
measurementtime,Time,K&K_Weather_Station,WIMP_K&K_Weather_Station,weather,,,,,,,
rainin,Rain_Index,K&K_Weather_Station,WIMP_K&K_Weather_Station,weather,,,,,,,
tempf,Temperature,K&K_Weather_Station,WIMP_K&K_Weather_Station,weather,,,,,,,
winddir,Wind,K&K_Weather_Station,WIMP_K&K_Weather_Station,weather,,,,,,,
winddir_avg2m,Wind,K&K_Weather_Station,WIMP_K&K_Weather_Station,weather,,,,,,,
windgustdir,Speed,K&K_Weather_Station,WIMP_K&K_Weather_Station,weather,,,,,,,
windgustdir_10m,Speed,K&K_Weather_Station,WIMP_K&K_Weather_Station,weather,,,,,,,
windgustmph,Speed,K&K_Weather_Station,WIMP_K&K_Weather_Station,weather,,,,,,,
windgustmph_10m,Speed,K&K_Weather_Station,WIMP_K&K_Weather_Station,weather,,,,,,,
windspdmph_avg2m,Speed,K&K_Weather_Station,WIMP_K&K_Weather_Station,weather,,,,,,,
windspeedmph,Speed,K&K_Weather_Station,WIMP_K&K_Weather_Station,weather,,,,,,,
temp,Temperature,WineTempBug,First_TemBug,electricimp,imp,signal,temperature,,,,
batterypercent,Battery_Level,Torrey_Pines_Elementary_School_Red_Box_1,Red_box_1_is_a_moveable_waterproof_box_containing_a_Photon_that_is_attached_to_a_soil_moisture_sensor,_a_soil_temperature_sensor_and_an_SI1145_UV,_infrared,_and_visible_light_sensor._The_box_uses_a_LiPo_battery_and_the_SparkFun_battery_shield_and_has_a_waterproof_USB_connector_for_charging_the_battery_as_well_as_a_waterproof_on/off_button.,moisture,soil,temperature,uv,
soilmoistpercent,Humidity,Torrey_Pines_Elementary_School_Red_Box_1,Red_box_1_is_a_moveable_waterproof_box_containing_a_Photon_that_is_attached_to_a_soil_moisture_sensor,_a_soil_temperature_sensor_and_an_SI1145_UV,_infrared,_and_visible_light_sensor._The_box_uses_a_LiPo_battery_and_the_SparkFun_battery_shield_and_has_a_waterproof_USB_connector_for_charging_the_battery_as_well_as_a_waterproof_on/off_button.,moisture,soil,temperature,uv,
soilmoistvalue,Humidity,Torrey_Pines_Elementary_School_Red_Box_1,Red_box_1_is_a_moveable_waterproof_box_containing_a_Photon_that_is_attached_to_a_soil_moisture_sensor,_a_soil_temperature_sensor_and_an_SI1145_UV,_infrared,_and_visible_light_sensor._The_box_uses_a_LiPo_battery_and_the_SparkFun_battery_shield_and_has_a_waterproof_USB_connector_for_charging_the_battery_as_well_as_a_waterproof_on/off_button.,moisture,soil,temperature,uv,
stempc,Temperature,Torrey_Pines_Elementary_School_Red_Box_1,Red_box_1_is_a_moveable_waterproof_box_containing_a_Photon_that_is_attached_to_a_soil_moisture_sensor,_a_soil_temperature_sensor_and_an_SI1145_UV,_infrared,_and_visible_light_sensor._The_box_uses_a_LiPo_battery_and_the_SparkFun_battery_shield_and_has_a_waterproof_USB_connector_for_charging_the_battery_as_well_as_a_waterproof_on/off_button.,moisture,soil,temperature,uv,
stempf,Temperature,Torrey_Pines_Elementary_School_Red_Box_1,Red_box_1_is_a_moveable_waterproof_box_containing_a_Photon_that_is_attached_to_a_soil_moisture_sensor,_a_soil_temperature_sensor_and_an_SI1145_UV,_infrared,_and_visible_light_sensor._The_box_uses_a_LiPo_battery_and_the_SparkFun_battery_shield_and_has_a_waterproof_USB_connector_for_charging_the_battery_as_well_as_a_waterproof_on/off_button.,moisture,soil,temperature,uv,
uvindex,UV,Torrey_Pines_Elementary_School_Red_Box_1,Red_box_1_is_a_moveable_waterproof_box_containing_a_Photon_that_is_attached_to_a_soil_moisture_sensor,_a_soil_temperature_sensor_and_an_SI1145_UV,_infrared,_and_visible_light_sensor._The_box_uses_a_LiPo_battery_and_the_SparkFun_battery_shield_and_has_a_waterproof_USB_connector_for_charging_the_battery_as_well_as_a_waterproof_on/off_button.,moisture,soil,temperature,uv,
settemperature,Temperature,Sous_Vide,Sous_Vide_PID_temperature_controller,,,,,,,,
temperature,Temperature,Sous_Vide,Sous_Vide_PID_temperature_controller,,,,,,,,
humidity,Humidity,Tempel_Weather,temperature_and_humidity_data_from_the_photon,,,,,,,,
tempf,Temperature,Tempel_Weather,temperature_and_humidity_data_from_the_photon,,,,,,,,
hidx,Heat_Index,Node_WiFi_Weather_DHT11,Nodemcu_esp8266_dht11,,,,,,,,
hidx2,Heat_Index,Node_WiFi_Weather_DHT11,Nodemcu_esp8266_dht11,,,,,,,,
hum,Humidity,Node_WiFi_Weather_DHT11,Nodemcu_esp8266_dht11,,,,,,,,
hum2,Humidity,Node_WiFi_Weather_DHT11,Nodemcu_esp8266_dht11,,,,,,,,
temp,Temperature,Node_WiFi_Weather_DHT11,Nodemcu_esp8266_dht11,,,,,,,,
temp2,Temperature,Node_WiFi_Weather_DHT11,Nodemcu_esp8266_dht11,,,,,,,,
time,Time,Char_Lab1,Nitrogen_monitor,,,,,,,,
humidity,Humidity,WMP11_temperature_+_humidity,ESP8266_AM2302,humidity,temp,,,,,,
temp,Temperature,WMP11_temperature_+_humidity,ESP8266_AM2302,humidity,temp,,,,,,
millis,Time,ESP8266_monitors,ESP8266_monitors_streaming_temperature_information,dht11,ds18b20,esp8266,temperature,,,,
temp,Temperature,ESP8266_monitors,ESP8266_monitors_streaming_temperature_information,dht11,ds18b20,esp8266,temperature,,,,
hidx1,Heat_Index,UAM_-_AZC_/_Hornos_1_+_2,Monitoreo_de_condiciones_de_los_experimentos,dht22,,,,,,,
hidx2,Heat_Index,UAM_-_AZC_/_Hornos_1_+_2,Monitoreo_de_condiciones_de_los_experimentos,dht22,,,,,,,
hum1,Humidity,UAM_-_AZC_/_Hornos_1_+_2,Monitoreo_de_condiciones_de_los_experimentos,dht22,,,,,,,
hum2,Humidity,UAM_-_AZC_/_Hornos_1_+_2,Monitoreo_de_condiciones_de_los_experimentos,dht22,,,,,,,
temp1,Temperature,UAM_-_AZC_/_Hornos_1_+_2,Monitoreo_de_condiciones_de_los_experimentos,dht22,,,,,,,
temp2,Temperature,UAM_-_AZC_/_Hornos_1_+_2,Monitoreo_de_condiciones_de_los_experimentos,dht22,,,,,,,
time,Time,30_Sensors_logging,PPJ_testing,,,,,,,,
humidity,Humidity,LightSensor,Light_sensor_basic_setup,light,,,,,,,
light,Brightness,LightSensor,Light_sensor_basic_setup,light,,,,,,,
temperature,Temperature,LightSensor,Light_sensor_basic_setup,light,,,,,,,
temp,Temperature,Incubator_1,Temperature_sensos_-_PT100_A/D_-_ADS1247,incubator,,,,,,,
gas,Gas_Level,Balancer-Home-Gas-MQ-2,MQ-2_Gas_sensor_level,gas,,,,,,,
motion,Motion,Pickem_Motion_Sensor,Motion_sensor_trial_living_room,,,,,,,,
time,Time,Pickem_Motion_Sensor,Motion_sensor_trial_living_room,,,,,,,,
ch01,Energy,Home_Energy_Monitor_at_140_Ly_Thai_To_Hoi_An_Viet_Nam,A_Energy_usage_at_140_Ly_Thai_To_Hoi_An_use_Arduno_and_Esp8266,hoian,iot,solarpower,weather,,,,
ch02,Energy,Home_Energy_Monitor_at_140_Ly_Thai_To_Hoi_An_Viet_Nam,A_Energy_usage_at_140_Ly_Thai_To_Hoi_An_use_Arduno_and_Esp8266,hoian,iot,solarpower,weather,,,,
ch03,Energy,Home_Energy_Monitor_at_140_Ly_Thai_To_Hoi_An_Viet_Nam,A_Energy_usage_at_140_Ly_Thai_To_Hoi_An_use_Arduno_and_Esp8266,hoian,iot,solarpower,weather,,,,
ch04,Energy,Home_Energy_Monitor_at_140_Ly_Thai_To_Hoi_An_Viet_Nam,A_Energy_usage_at_140_Ly_Thai_To_Hoi_An_use_Arduno_and_Esp8266,hoian,iot,solarpower,weather,,,,
ch05,Energy,Home_Energy_Monitor_at_140_Ly_Thai_To_Hoi_An_Viet_Nam,A_Energy_usage_at_140_Ly_Thai_To_Hoi_An_use_Arduno_and_Esp8266,hoian,iot,solarpower,weather,,,,
ch06,Energy,Home_Energy_Monitor_at_140_Ly_Thai_To_Hoi_An_Viet_Nam,A_Energy_usage_at_140_Ly_Thai_To_Hoi_An_use_Arduno_and_Esp8266,hoian,iot,solarpower,weather,,,,
ch07,Energy,Home_Energy_Monitor_at_140_Ly_Thai_To_Hoi_An_Viet_Nam,A_Energy_usage_at_140_Ly_Thai_To_Hoi_An_use_Arduno_and_Esp8266,hoian,iot,solarpower,weather,,,,
ch08,Energy,Home_Energy_Monitor_at_140_Ly_Thai_To_Hoi_An_Viet_Nam,A_Energy_usage_at_140_Ly_Thai_To_Hoi_An_use_Arduno_and_Esp8266,hoian,iot,solarpower,weather,,,,
ch09,Energy,Home_Energy_Monitor_at_140_Ly_Thai_To_Hoi_An_Viet_Nam,A_Energy_usage_at_140_Ly_Thai_To_Hoi_An_use_Arduno_and_Esp8266,hoian,iot,solarpower,weather,,,,
ch10,Energy,Home_Energy_Monitor_at_140_Ly_Thai_To_Hoi_An_Viet_Nam,A_Energy_usage_at_140_Ly_Thai_To_Hoi_An_use_Arduno_and_Esp8266,hoian,iot,solarpower,weather,,,,
hidx,Heat_Index,Pokoj,Radek_Pokoj,teplota,,,,,,,
hum,Humidity,Pokoj,Radek_Pokoj,teplota,,,,,,,
temp,Temperature,Pokoj,Radek_Pokoj,teplota,,,,,,,
MaxTemp,Temperature,The_Big_Freeze,Arduino_based_TI102_temperature_sensor_monitor_and_display.__Sensor_is_waterproofed_and__embedded_in_a_freezer.__Degrees_in_Fahrenheit._See_the_trend:_http://bit.ly/1XxiO6C,maxtemp,temp,,,,,,
MinTemp,Temperature,The_Big_Freeze,Arduino_based_TI102_temperature_sensor_monitor_and_display.__Sensor_is_waterproofed_and__embedded_in_a_freezer.__Degrees_in_Fahrenheit._See_the_trend:_http://bit.ly/1XxiO6C,maxtemp,temp,,,,,,
Temp,Temperature,The_Big_Freeze,Arduino_based_TI102_temperature_sensor_monitor_and_display.__Sensor_is_waterproofed_and__embedded_in_a_freezer.__Degrees_in_Fahrenheit._See_the_trend:_http://bit.ly/1XxiO6C,maxtemp,temp,,,,,,
temp1,Temperature,test-wm1_(0x1c23),WM_#1_(sensor_0x1c23),,,,,,,,
temp2,Temperature,test-wm1_(0x1c23),WM_#1_(sensor_0x1c23),,,,,,,,
temp1,Temperature,Office_Temp,Temperature_at_my_desk,,,,,,,,
Temperature ,Temperature,Home_-_Outdoor_Temp,Temperature_readings_from_Arduino_1-Wire_network.,Arduino,1-Wire,,,,,,
Degrees Fahrenheit,Temperature,Attic,Left_Side_Attic_Temp.,,,,,,,,
Degrees Fahrenheit,Temperature,Outside,,,,,,,,,
Degrees Fahrenheit,Temperature,Basement,Server_Closet_Temp,,,,,,,,
LUX,Brightness,LDR_LUX__Miklos,Teste_com_arduino_ethernet_shield_e_LDR,,,,,,,,
Dollar amount of refund,Price,IRS_Refund_TEST_CHANNEL,Please_enter_your_IRS_refund.,,,,,,,,
Waterbed temp,Temperature,Water_Bed,Master_Bedroom_Water_Bed,water_bed_temperature_controller,,,,,,,
Bedroom temp,Temperature,Water_Bed,Master_Bedroom_Water_Bed,water_bed_temperature_controller,,,,,,,
Dollar Amount,Price,IRS_Refund_Status_Test,Please_enter_your_IRS_refund_below.,,,,,,,,
gas,Gas_Level,Consumption,Light_sensor_attached_to_the_electricity,_gas_and_water_meters.,consumption,electricity,gas,meter,water,,
